wl	n
9.259E+000	3.789E-002
9.524E+000	4.026E-002
9.804E+000	4.450E-002
1.000E+001	5.008E-002
1.020E+001	6.461E-002
1.031E+001	7.500E-002
1.042E+001	8.800E-002
1.053E+001	1.080E-001
1.064E+001	1.340E-001
1.075E+001	1.680E-001
1.087E+001	2.040E-001
1.100E+001	2.480E-001
1.111E+001	2.800E-001
1.136E+001	3.410E-001
1.163E+001	3.790E-001
1.190E+001	4.090E-001
1.220E+001	4.220E-001
1.250E+001	4.220E-001
1.282E+001	4.030E-001
1.299E+001	3.890E-001
1.316E+001	3.740E-001
1.333E+001	3.540E-001
1.351E+001	3.350E-001
1.370E+001	3.150E-001
1.389E+001	2.940E-001
1.408E+001	2.710E-001
1.429E+001	2.460E-001
1.471E+001	1.980E-001
1.515E+001	1.640E-001
1.538E+001	1.520E-001
1.563E+001	1.420E-001
1.613E+001	1.280E-001
1.639E+001	1.250E-001
1.667E+001	1.230E-001
1.695E+001	1.160E-001
1.724E+001	1.070E-001
1.818E+001	7.900E-002
1.832E+001	7.752E-002
1.861E+001	7.455E-002
1.887E+001	7.200E-002
1.923E+001	7.600E-002
1.961E+001	7.500E-002
2.000E+001	6.700E-002
2.041E+001	5.500E-002
2.083E+001	4.500E-002
2.222E+001	2.900E-002
2.260E+001	2.750E-002
2.305E+001	2.700E-002
2.360E+001	2.730E-002
2.460E+001	2.890E-002
2.500E+001	3.000E-002
2.600E+001	3.400E-002
2.857E+001	5.122E-002
3.100E+001	8.615E-002
3.333E+001	1.348E-001
3.448E+001	1.615E-001
3.564E+001	1.895E-001
3.700E+001	2.227E-001
3.824E+001	2.528E-001
3.960E+001	2.853E-001
4.114E+001	3.240E-001
4.276E+001	3.945E-001
4.358E+001	4.521E-001
4.458E+001	5.535E-001
4.550E+001	6.782E-001
4.615E+001	7.684E-001
4.671E+001	8.254E-001
4.736E+001	8.458E-001
4.800E+001	8.158E-001
4.878E+001	7.414E-001
5.003E+001	6.191E-001
5.128E+001	5.353E-001
5.275E+001	4.780E-001
5.350E+001	4.599E-001
5.424E+001	4.468E-001
5.500E+001	4.214E-001
5.574E+001	3.860E-001
5.640E+001	3.508E-001
5.700E+001	3.196E-001
5.746E+001	2.981E-001
5.840E+001	2.659E-001
5.929E+001	2.569E-001
6.000E+001	2.785E-001
6.100E+001	3.076E-001
6.125E+001	3.146E-001
6.250E+001	3.471E-001
6.378E+001	3.748E-001
6.467E+001	3.902E-001
6.558E+001	4.024E-001
6.655E+001	4.115E-001
6.760E+001	4.167E-001
6.900E+001	4.167E-001
7.053E+001	4.089E-001
7.300E+001	3.830E-001
7.500E+001	3.543E-001
7.629E+001	3.340E-001
8.000E+001	2.944E-001
8.297E+001	2.679E-001
8.500E+001	2.519E-001
8.680E+001	2.390E-001
9.080E+001	2.140E-001
9.517E+001	1.913E-001
1.000E+002	1.706E-001
1.200E+002	1.151E-001
1.600E+002	6.684E-002
2.100E+002	4.282E-002
3.000E+002	2.549E-002
5.000E+002	1.405E-002
1.300E+003	5.173E-003
5.000E+003	1.337E-003
1.900E+004	3.574E-004
3.900E+004	1.839E-004
6.100E+004	1.294E-004
8.600E+004	1.058E-004
1.100E+005	9.675E-005
1.400E+005	9.360E-005
1.800E+005	9.613E-005
2.400E+005	1.066E-004
3.400E+005	1.312E-004
5.400E+005	1.895E-004
1.000E+006	3.348E-004
2.000E+006	6.596E-004
